자치구,분류,시설명,주소,위도,경도,전화번호,종목,홈페이지,강습여부,실내/실외
용산구,게이트볼장,청파3가 게이트볼장,용산구 청파동3가 118-263,37.543423,126.965976,-,게이트볼,-,무,실외
용산구,배드민턴장,동작대교하부 배드민턴장,용산구 용산동6가 69-11,37.518032,126.983225,-,배드민턴,-,무,실외
용산구,게이트볼장,동작대교하부 게이트볼장,용산구 용산동6가 69-11,37.5179703,126.9832381,-,게이트볼,-,무,실외
성동구,체육관,성동구민종합체육센터,성동구 왕십리로 89,37.5458249,127.0440489,2204-7600,수영 에어로빅 축구 스쿼시 헬스 요가 탁구 농구 검도 필라테스 인라인스케이트 ,http://sports.happysd.or.kr,유,실외
성동구,체육관,열린금호교육문화관,성동구 무수막길 69,37.5522036,127.0203276,2204-7670 ,수영 헬스 댄스 에어로빅 발레 리듬체조 배드민턴 인라인스케이트 요가 필라테스 스피닝,http://sports.happysd.or.kr,유,실외
성동구,체육관,마장국민체육센터,성동구 마조로 11길 6,37.5620828,127.0407557,2204-7670 ,수영 필라테스 발레 요가 줌바댄스 방송댄스 헬스,http://sports.happysd.or.kr,유,실외
성동구,체육관,대현산체육관,성동구 독서당로 63길 44 ,37.5539276,127.030079,2204-7680,배드민턴,http://sports.happysd.or.kr,유,실외
성동구,체육관,금호공원체육관,성동구 장터1길 18,37.5493239,127.0187017,2204-7690,탁구,http://sports.happysd.or.kr,유,실외
성동구,체육관,금호스포츠센터,성동구 금호로 20,37.5455958,127.0250663,2204-7675,배드민턴(12면) 풋살 요가 필라테스,http://sports.happysd.or.kr,유,실외
성동구,배드민턴장,서울숲 배드민턴장,성동구 뚝섬로 273,37.5431644,127.0418547,2286-5211,배드민턴,서울숲.KR,무,실외
성동구,게이트볼장,서울숲 게이트볼장,성동구 뚝섬로 273,37.5431644,127.0418547,2286-5211,게이트볼,서울숲.KR,무,실외
성동구,인라인스케이트장,서울숲 스케이트파크,성동구 뚝섬로 273,37.5431644,127.0418547,2286-5211,인라인스케이트 스케이트보드,-,무,실외
성동구,축구장,서울숲 다목적 경기장,성동구 뚝섬로 273,37.5431644,127.0418547,460-2921,풋살 축구,http://seoulforest.or.kr/ ,무,실외
성동구,농구장,서울숲 농구장,성동구 뚝섬로 273,37.5431644,127.0418547,2286-5211,농구,서울숲.KR,무,실외
성동구,테니스장,서울숲 테니스장,성동구 뚝섬로 273,37.5431644,127.0418547,460-2921,테니스,http://seoulforest.or.kr/ ,무,실외
성동구,풋살장,응봉공원,성동구 금호로 172-1,37.556878,127.0217208,2293-7646,풋살,http://parks.seoul.go.kr/,무,실외
성동구,테니스장,응봉공원,성동구 금호로 172-1,37.556878,127.0217208,2293-7646,테니스(2면),http://parks.seoul.go.kr/,무,실외
성동구,축구장,응봉공원,성동구 금호로 172-1,37.556878,127.0217208,2293-7646,축구,http://parks.seoul.go.kr/,무,실외
성동구,야구장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2204-7600,야구,http://sports.happysd.or.kr,무,실외
성동구,족구장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2286-6090,족구,-,무,실외
성동구,풋살장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2286-6090,풋살,-,무,실외
성동구,농구장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2286-6090,농구,-,무,실외
성동구,게이트볼장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2286-6090,게이트볼,-,무,실외
성동구,테니스장,응봉체육공원,성동구 응봉동 9-5,37.5522289,127.0376497,2204-7600,테니스,http://sports.happysd.or.kr,유,실외
성동구,게이트볼장,송정체육공원,성동구 송정동 73-254,37.553722,127.0671,-,게이트볼,-,무,실외
성동구,축구장,중랑물재생센터,성동구 용답동 246-4,37.5587143,127.0607724,2111-2535,축구,yeyak.seoul.go.kr ,무,실외
성동구,족구장,중랑물재생센터,성동구 용답동 246-4,37.5587143,127.0607724,2111-2535,족구,yeyak.seoul.go.kr ,무,실외
성동구,배드민턴장,중랑물재생센터,성동구 용답동 246-4,37.5587143,127.0607724,2111-2535,배드민턴(3면),yeyak.seoul.go.kr ,무,실외
성동구,테니스장,중랑물재생센터,성동구 용답동 246-4,37.5587143,127.0607724,2111-2535,테니스(1면),yeyak.seoul.go.kr ,무,실외
성동구,농구장,성수구두테마공원,성동구 성수동2가 302-25,37.544765,127.052407,464-2770,농구,-,무,실외
성동구,축구장,살곶이체육공원,성동구 사근동 104,37.553807,127.048259,2286-6090,축구,-,무,실외
성동구,야구장,살곶이체육공원,성동구 사근동 104,37.553807,127.048259,2204-7600,야구,http://sports.happysd.or.kr,무,실외
성동구,수영장,살곶이체육공원,성동구 사근동 104,37.553807,127.048259,2204-7670 ,수영,http://sports.happysd.or.kr,무,실외
성동구,축구장,뚝섬유수지체육공원,성동구 성수동1가 685-61,37.5497448,127.039652,2286-6090,축구,-,무,실외
성동구,농구장,뚝섬유수지체육공원,성동구 성수동1가 685-61,37.5497448,127.039652,2286-6090,농구,-,무,실외
성동구,족구장,뚝섬유수지체육공원,성동구 성수동1가 685-61,37.5497448,127.039652,2286-6090,족구,-,무,실외
성동구,인라인스케이트장,뚝섬유수지체육공원 ,성동구 성수동1가 685-61,37.5497448,127.039652,2286-6090,인라인스케이트,-,무,실외
성동구,배드민턴장,뚝섬유수지체육공원,성동구 성수동1가 685-61,37.5497448,127.039652,2286-6090,배드민턴,-,무,실외
성동구,테니스장,응봉테니스장,성동구 응봉동 240-1,37.5511225,127.0362233,2282-7600,테니스(5면),http://sports.happysd.or.kr,유,실외
성동구,테니스장,마장테니스장,성동구 마장동 832,37.5640925,127.0389211,2282-7200,테니스,http://sports.happysd.or.kr,유,실외
광진구,체육관,광진구민체육센터,광진구 구천면로 14 ,37.5461603,127.1065423,2049-4800,수영 헬스 골프 스크린골프 축구 농구 야구 탁구 배드민턴 에어로빅 스피닝 댄스 요가 필라테스,http://gumin.gwangjin.or.kr/,유,실내
광진구,체육관,광진문화예술회관,광진구 능동로 76,37.5373529,127.0705248,2049-4570,수영 헬스 골프 스피닝,http://gjart.gwangjin.or.kr/,유,실내
광진구,체육관,중곡문화체육센터,광진구 능동로 433,37.5677533,127.0847135,3408-4900,수영 헬스 농구(1면) 축구 탁구 배드민턴(6면) 배구(1면) 요가 필라테스,http://jgsports.gwangjin.or.kr/,유,실내
광진구,체육관,광진청소년수련관 농구장,광진구 구천면로 2,37.5461603,127.1065423,2204-3100,농구,http://www.seekle.or.kr/index.html,유,실외
광진구,축구장,뚝섬한강공원,광진구 자양동 704-3,37.528161,127.075835,453-3028,축구,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,족구장,뚝섬한강공원,광진구 자양동 422,37.5277575,127.0762385,3780-0521,족구,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,농구장,뚝섬한강공원,광진구 자양동 422,37.5277575,127.0762385,3780-0521,농구,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,수영장,뚝섬한강공원,광진구 자양동 704-3,37.529825,127.067039,452-5955,수영,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,배드민턴장,뚝섬한강공원,광진구 자양동 427-22,37.528537,127.0738405,3780-0521,배드민턴,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,테니스장,뚝섬한강공원,광진구 자양동 410-1,37.5278859,127.0753793,3780-0521,테니스,http://hangang.seoul.go.kr/archives/46661,무,실외
광진구,축구장,어린이대공원 잔디축구장,광진구 능동 18,37.549363,127.0818126,450-9356,축구,-,무,실외
광진구,풋살장,어린이대공원 풋살장,광진구 능동 18,37.549363,127.0818126,450-9356,풋살,-,무,실외
광진구,테니스장,어린이대공원 테니스장,광진구 능동 18,37.549363,127.0818126,450-9356,테니스,-,무,실외
광진구,테니스장,어린이대공원 실내테니스장,광진구 능동 18,37.549363,127.0818126,450-9356,테니스,-,무,실내
광진구,간이운동장,아차산배수지체육시설,광진구 구의동 천호대로 731 ,37.5486303,127.0958048,3437-7234,축구 풋살 다목적구장 농구 테니스(4면) 정구장(2면),http://stadium.gwangjin.or.kr/,무,실외
광진구,인라인스케이트장,광장동체육공원,광진구 광장동 아차산로 586,37.5478086,127.1052825,2049-4800,인라인스케이트 간이운동시설,gumin.gwangjin.or.kr/,무,실외
광진구,배드민턴장,광장동실내배드민턴장,광진구 천호대로140길 40,37.544382,127.1001834,458-9062,배드민턴,http://minton.gwangjin.or.kr/,유,실내
동대문구,체육관,동대문구민체육센터,동대문구 장안벚꽃로 67,37.5668194,127.0739112,2247-9772,수영 헬스 배드민턴 유도 인라인스케이트 방송댄스 농구,http://www.dfmc.kr,유,실내
동대문구,체육관,동대문구체육관,동대문구 답십리로 210-3,37.5722643,127.0639667,2247-9611,배드민턴 인라인스케이트 탁구 요가 필라테스 방송댄스,http://www.dfmc.kr,유,실내
동대문구,체육관,이문체육문화센터,동대문구 한천로58길 81-49,37.6022252,127.0686956,963-0534,헬스 배드민턴 농구 탁구 필라테스 테니스 골프,http://www.dfmc.kr,유,실내
동대문구,체육관,동대문 청소년수련관,동대문구 제기로 33길 25   ,37.5872685,127.0499878,3295-1478,수영 헬스 농구 에어로빅,http://www.ddmy.or.kr/,유,실내
동대문구,체육관,동대문종합사회복지관,동대문구 약령시로 5길 22,37.5839428,127.0342231,920-4500,수영 에어로빅 요가 발레 배드민턴 줌바댄스,http://www.communitycenter.or.kr/,유,실내
동대문구,테니스장,장평테니스장,동대문구 장안벚꽃로 67,37.5668194,127.0739112,2247-9772,테니스(3면),www.dfmc.kr,유,실외
동대문구,농구장,간데메공원 농구장,동대문구 서울시립대로2길 59 ,37.573581,127.048663,2249-2770,농구,-,무,실외
동대문구,수영장,동대문구 야외수영장,동대문구 장안동 20-5,37.5681263,127.0761511,2247-9772,수영장,-,무,실외
중랑구,체육관,중랑구민체육센터,중랑구 신내로15길 189,37.6151721,127.0874763,3423-1070,수영 헬스 에어로빅 댄스 배드민턴 요가,http://jungnangspo.seoul.kr,유,실내
중랑구,체육관,중랑문화체육관,중랑구 사가정로72길 47,37.5792399,127.0959499,436-9200,수영 헬스 에어로빅 댄스 배드민턴 요가,http://jungnangspo.seoul.kr,유,실내
중랑구,배드민턴장,묵동다목적체육관,중랑구 숙선옹주로 66,37.6144169,127.0842018,949-5577,배드민턴,http://www.jungnangimc.or.kr/,유,실내
중랑구,배드민턴장,신내다목적체육관,중랑구 신내로 21길 115-14,37.6112146,127.0894479,3422-4350,배드민턴(8면),http://www.jungnangimc.or.kr/,유,실내
중랑구,축구장,용마폭포공원축구장,중랑구 용마산로 250-12,37.5733026,127.0891138,436-3466,축구,http://www.jungnangimc.or.kr/,무,실외
중랑구,축구장,신내차량기지체육시설,중랑구 용마산로 136-33,37.6115753,127.1077606,432-4453,축구장,http://www.jungnangimc.or.kr/,무,실외
중랑구,야구장,신내차량기지체육시설,중랑구 용마산로 136-33,37.6115753,127.1077606,432-4453,야구장,http://www.jungnangimc.or.kr/,무,실외
중랑구,체육관,망우청소년수련관,중랑구 송림길 156,37.6058844,127.1088479,492-7942,수영 헬스 에어로빅 배드민턴 발레 농구 축구,http://http://mangwoo.kr/,유,실내
중랑구,클라이밍장,중랑스포츠클라이밍경기장,중랑구 용마산로 250-12,37.5733026,127.0891138,070-4193-6108,클라이밍,http://cafe.daum.net/juscs,유,실외
중랑구,체육관,중랑구민체육센터,중랑구 신내로 15길 189,37.6151721,127.0874763,3423-1070,수영 헬스,http://jungnangspo.seoul.kr/,유,실내
중랑구,체육관,면목2동체육관,중랑구 겸재로 23길 27,37.5878763,127.0808914,495-5200,에어로빅 줌바댄스 요가 밸리댄스 탁구,http://jungnangspo.seoul.kr/,유,실내
중랑구,체육관,중랑청소년수련관,중랑구 용마산로 217,37.573171,127.0858392,490-0114 ,헬스 골프 밸리댄스 줌바댄스 요가,http://www.jjang.or.kr/jjang/,유,실내
중랑구,수영장,중랑천물놀이시설,중랑구 면목동 중랑천 장안교 ,37.580646,127.0773483,435-0990,수영,http://jungnangimc.or.kr/,무,실외
중랑구,축구장,용마폭포공원축구장,중랑구 용마산로 250-12,37.5733026,127.0891138,436-3466,축구,http://jungnangimc.or.kr/,무,실외
중랑구,테니스장,용마폭포공원테니스장,중랑구 용마산로 250-12,37.5733026,127.0891138,436-6543,테니스,http://www.jungnangimc.or.kr/,유,실외
중랑구,축구장,중랑구립잔디운동장,중랑구 망우동 73-2,37.6068611,127.1130279,2094-2949,축구,http://jungnangimc.or.kr/,무,실외
성북구,체육관,성북종합레포츠타운,성북구 한천로58길 30,37.6095158,127.0699065,6917-1100,수영 골프 스쿼시 헬스 풋살 족구,http://www.gongdan.go.kr/gongdan/sb_reports/intro/intro.jsp,유,실내
성북구,체육관,개운산스포츠센터,성북구 북악산로 949-60,37.5968341,127.0262406,925-9960,수영 헬스,https://web.facebook.com/Youngma Climbing Park/,유,실내
성북구,체육관,성북구민체육관,성북구 성북동 2-1,37.5922983,127.0037807,909-3497,헬스 인라인스케이트 밸리댄스 탁구 농구,http://www.gongdan.go.kr/,무,실내
성북구,체육관,해오름휘트니스센터,성북구 성북로4길 52,37.5947663,127.0104379,6925-7003,헬스 요가 줌바댄스 태보 발레,http://www.gongdan.go.kr/,유,실내
성북구,간이운동장,정릉북악체육시설,성북구 정릉동 산87-357,37.6098905,126.9941692,909-3497,테니스 배드민턴 게이트볼,http://www.gongdan.go.kr/,무,실외
성북구,배드민턴장,성북구민체육관(월곡배드민턴장),성북구 화랑로 13길 144,37.6106079,127.0403978,909-3497,배드민턴,http://www.gongdan.go.kr/,유,실내
성북구,테니스장,성북구민체육관(월곡테니스장),성북구 화랑로 13길 144,37.6106079,127.0403978,909-3497,테니스,http://www.gongdan.go.kr/,무,실외
성북구,족구장,정릉족구장,성북구 정릉동 산87-372,37.6073218,127.0039598,6925-7003,족구,http://www.gongdan.go.kr/,무,실외
성북구,테니스장,정릉테니스장,성북구 정릉동 산87-357,37.6098905,126.9941692,6925-7003,테니스,http://www.gongdan.go.kr/,무,실외
성북구,축구장,월곡인조잔디축구장,성북구 화랑로 13길 144,37.6106079,127.0403978,909-3497,축구,http://www.gongdan.go.kr/,무,실외
성북구,축구장,월곡구민운동장,성북구 화랑로13길 144,37.6106079,127.0403978,909-3497,축구,http://www.gongdan.go.kr/,무,실외
성북구,풋살장,석관풋살장,성북구 석관동 27-7,37.6083629,127.0701538,6917-1100,풋살,http://www.gongdan.go.kr/,무,실외
성북구,족구장,석관족구장,성북구 석관동 14-5,37.6105908,127.0693037,6917-1100,족구,http://www.gongdan.go.kr/,무,실외
성북구,골프연습장,북악골프연습장,성북구 북악산로 537-14,37.6025709,126.9980322,919-4040,골프,http://www.gongdan.go.kr/,유,실내외
강북구,체육관,강북웰빙스포츠센터,강북구 오현로 31길 51,37.6303938,127.0377586,944-2901,수영 헬스 스쿼시 에어로빅 필라테스 요가  검도,http://www.gangbukcmc.seoul.kr/,유,실내
강북구,체육관,강북문화예술회관,강북구 삼각산로 85,37.640776,127.01311,944-3000,수영 헬스 단전호흡 ,http://www.gangbukcmc.seoul.kr/,유,실내
강북구,간이운동장,강북구민운동장,강북구 오현로 187-25 ,37.6295726,127.037716,944-2914,족구 농구 축구,http://www.gangbukcmc.seoul.kr/,무,실외
강북구,체육관,강북청소년수련관,강북구 4.19로 74 ,37.645936,127.0063804,6715-6611,수영 헬스 클라이밍 농구 검도 인라인스케이트,http://nanna.seoul.kr/,유,실내
강북구,배드민턴장,오동근린공원 실내배드민턴장,강북구 덕릉로42길 49,37.6328736,127.0320437,944-2912,배드민턴(8면),http://www.gangbukcmc.seoul.kr/,유,실내
강북구,족구장,오동근린공원 족구장,강북구 번2동 산25-2,37.6284908,127.038191,901-6923,족구장,http://parks.seoul.go.kr/parks/,무,실외
강북구,골프연습장,오동골프클럽,강북구 오현로 117 ,37.6225862,127.0362994,944-2912,골프,http://www.gangbukcmc.seoul.kr/,유,실내외
도봉구,체육관,창동문화체육센터,도봉구 노해로69길 132,37.6582713,127.0506149,901-5000,골프수영헬스,http://www.dobongsiseol.or.kr/index_sport.html,유,실내
도봉구,배드민턴장,창동배드민턴장,도봉구 노해로 69길 132 ,37.6582713,127.0506149,901-5049,배드민턴,https://www.dobongsiseol.or.kr/,유,실내
도봉구,체육관,도봉구민회관,도봉구 도봉로 552,37.6540005,127.0386044,901-5160,에어로빅 댄스스포츠 요가 국선도,http://www.dobongsiseol.or.kr/,유,실내
도봉구,배드민턴장,초안산실내배드민턴장,도봉구 덕릉로 63길 76-10,37.6447498,127.0409457,901-5125,배드민턴,https://www.dobongsiseol.or.kr/,유,실내
도봉구,수영장,도봉실내수영장,도봉구 도봉로 180 나길41,37.6857879,127.0479503,901-5170,수영,https://www.dobongsiseol.or.kr/,유,실내
도봉구,배드민턴장,도봉실내배드민턴장,도봉구 도봉2동 84-6 ,37.6814387,127.0503481,901-5180,배드민턴,https://www.dobongsiseol.or.kr/,유,실내
도봉구,축구장,초안산 창골인조잔디구장,도봉구 해등로3길 48-11,37.6474261,127.0414291,907-0099,축구,-,무,실외
도봉구,농구장,창동산 농구장,도봉구 창동 산137-52,37.6441026,127.0413585,-,농구,-,무,실외
도봉구,농구장,쌍문근린공원,도봉구 쌍문동 산 80-1,37.6541919,127.0290879,2289-8597,농구,-,무,실외
도봉구,풋살장,초안산 풋살경기장,도봉구 해등로3길 48-11,37.6474261,127.0414291,2289-8578,풋살,-,무,실외
도봉구,배드민턴장,다락원체육공원,도봉구 창포원로 45,37.6893266,127.0480981,901-5190,배드민턴,http://yeyak.dobongsiseol.or.kr/rent/application/index/2018/08/05/1/DOBONG05,유,실외
도봉구,테니스장,다락원체육공원,도봉구 창포원로 45,37.6893266,127.0480981,901-5190,테니스 (실내3면 실외5면),http://yeyak.dobongsiseol.or.kr/rent/application/index/2018/08/05/1/DOBONG05,유,실외
도봉구,축구장,다락원체육공원,도봉구 창포원로 45,37.6893266,127.0480981,901-5190,축구,http://yeyak.dobongsiseol.or.kr/rent/application/index/2018/08/05/1/DOBONG05,유,실외
도봉구,게이트볼장,도봉게이트볼장,도봉구 도봉2동 84-3,37.6814902,127.0504324,2289-8578,게이트볼,-,무,실외
도봉구,체육관,대우스포츠센터,도봉구 덕릉로63가길 61,37.6423565,127.0375024,904-9633,수영 스피닝 요가,https://daewoosports.modoo.at/,유,실내
노원구,체육관,월계문화체육센터,노원구 월계로 298,37.6285057,127.0567724,2289-6870,수영 헬스 배드민턴 탁구 농구 축구 인라인스케이트 요가 필라테스 야구 ,http://gongdan.nowon.kr/culturebusiness/wolgae/info.html,유,실내
노원구,체육관,노원구민체육센터,노원구 노원로22길 1,37.6481175,127.0706261,2289-6800,수영 헬스 배드민턴 탁구 농구 축구 인라인스케이트 야구 검도 요가 필라테스,http://gongdan.nowon.kr/culturebusiness/nowon/info.html,유,실내
노원구,축구장,마들스타디움 축구장,노원구 덕릉로 450,37.6438715,127.0585375,2289-6855,축구,http://gongdan.nowon.kr/,무,실외
노원구,테니스장,마들스타디움 테니스장,노원구 덕릉로 450,37.6438715,127.0585375,2289-6854,테니스,http://gongdan.nowon.kr/,유,실외
노원구,배드민턴장,불암산배드민턴장,노원구 중계로 36,37.6391199,127.0840075,2289-6856,배드민턴,http://gongdan.nowon.kr/,유,실내
노원구,론볼장,불암산론볼장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,론볼,http://gongdan.nowon.kr/,무,실외
노원구,축구장,불암산축구장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,축구,http://gongdan.nowon.kr/,무,실외
노원구,야구장,불암산야구장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,야구,http://gongdan.nowon.kr/,무,실외
노원구,테니스장,불암산테니스장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,테니스,http://gongdan.nowon.kr/,무,실외
노원구,풋살장,불암산풋살장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,풋살,http://gongdan.nowon.kr/,무,실외
노원구,족구장,불암산족구장,노원구 중계로 36,37.6391199,127.0840075,2289-6854,족구,http://gongdan.nowon.kr/,무,실외
노원구,배드민턴장,월계배드민턴장,노원구 마들로 5가길 113,37.6383233,127.0519475,2289-6863,배드민턴,http://gongdan.nowon.kr/,유,실내
